Clave,Descripción,Principio Activo,Laboratorio,IVA,SKU,PRECIO,Categoria
ABBTT-100,ENSURE LIQUIDO SABOR VAINILLA ENV. C/237 ML.,VITAMINAS-MINERALES,ABBOTT,N,7501033954085,$58.80,Combinados
ABBTT-101,ENSURE LIQUIDO SABOR FRESA ENV. C/237 ML.,VITAMINAS-MINERALES,ABBOTT,Y,7501033954078,$59.33,Combinados
ABBTT-102,ENSURE LIQUIDO SABOR CHOCOLATE ENV. C/237 ML.,VITAMINAS-MINERALES,ABBOTT,Y,7501033954061,$59.33,Combinados
ABBTT-103,ENSURE PVO. SABOR VAINILLA ENV. C/400 G.,VITAMINAS-MINERALES,ABBOTT,Y,7501033953354,$390.98,Combinados
ABBTT-104,ENSURE PVO. SABOR FRESA ENV. C/400 G.,VITAMINAS-MINERALES,ABBOTT,Y,7501033953347,$403.41,Combinados
ABBTT-105,ENSURE PVO. SABOR CHOCOLATE ENV. C/400 G.,VITAMINAS-MINERALES,ABBOTT,Y,7501033953361,$390.98,Combinados
ABBTT-106,GLUCERNA LIQUIDO SABOR VAINILLA ENV. C/237 ML.,VITAMINAS-MINERALES,ABBOTT,Y,7501033956126,$63.17,Combinados
ABBTT-107,GLUCERNA LIQUIDO SABOR FRESA ENV. C/237 ML.,VITAMINAS-MINERALES,ABBOTT,Y,7501033956140,$63.17,Combinados
ABBTT-108,GLUCERNA LIQUIDO SABOR CHOCOLATE ENV. C/237 ML.,VITAMINAS-MINERALES,ABBOTT,Y,7501033956133,$63.17,Combinados
ABBTT-110,PEDIASURE LIQUIDO SABOR VAINILLA ENV. C/237 ML.,VITAMINAS-MINERALES,ABBOTT,Y,7501033956294,$60.46,Combinados
ABBTT-111,PEDIASURE LIQUIDO SABOR FRESA ENV. C/237 ML.,VITAMINAS-MINERALES,ABBOTT,Y,7501033956331,$60.46,Combinados
ABBTT-112,PEDIASURE LIQUIDO SABOR CHOCOLATE ENV. C/237 ML.,VITAMINAS-MINERALES,ABBOTT,Y,7501033956317,$60.46,Combinados
ABBTT-113,PEDIASURE PVO. SABOR VAINILLA ENV. C/400 G.,VITAMINAS-MINERALES,ABBOTT,Y,7501033955693,$452.00,Combinados
ABBTT-114,PEDIASURE PVO. SABOR FRESA ENV. C/400 G.,VITAMINAS-MINERALES,ABBOTT,Y,7501033957239,$484.77,Combinados
ABBTT-115,PEDIASURE PVO. SABOR CHOCOLATE ENV. C/400 G.,VITAMINAS-MINERALES,ABBOTT,Y,7501033957215,$467.82,Combinados
ABBTT-116,ENSURE ADVANCE LIQUIDO SABOR VAINILLA ENV. C/237 ML.,VITAMINAS-MINERALES,ABBOTT,Y,7501033958717,$64.41,Combinados
ABBTT-117,ENSURE ADVANCE LIQUIDO SABOR FRESA ENV. C/237 ML.,VITAMINAS-MINERALES,ABBOTT,Y,7501033960499,$64.41,Combinados
ABBTT-118,ENSURE ADVANCE LIQUIDO SABOR CHOCOLATE ENV. C/237 ML.,VITAMINAS-MINERALES,ABBOTT,Y,7501033960468,$64.41,Combinados
ABBTT-119,ENSURE ADVANCE PVO. SABOR VAINILLA ENV. C/400 G.,VITAMINAS-MINERALES,ABBOTT,Y,7501033957420,$448.61,Combinados
ACCF-01,FLUXACORD TAB. 500 MG. CAJA C/14,CIPROFLOXACINO,ACCORD,N,7506335701306,$34.72,Antibióticos
ACCF-02,ACORTRAL TAB. 50 MG. CAJA C/14,SERTRALINA,ACCORD,N,7502254000339,$42.56,
ACCF-06,STERYX TAB. 5 MG. CAJA C/30,FINASTERIDA,ACCORD,N,7506335700019,$48.16,
ACCF-08,HT-BLOC INY. 8 MG. CAJA C/3 AMP. C/4 ML.,ONDANSETRON,ACCORD,N,7506335701207,$100.80,
ACCF-14,ADIRIPEM TAB. 4 MG. CAJA C/30 (GLIMEPIRIDA),GLIMEPIRIDA,ACCORD,N,7506335700378,$32.48,
ACCF-22,ECCER TAB. 40 MG. CAJA C/28 (PANTOPRAZOL),PANTOPRAZOL,ACCORD,N,7506335702501,$58.24,Gastrointestinal
ACCF-27,OLANZAPINA TAB. 10 MG. CAJA C/28 (ZOFRENIX),OLANZAPINA,ACCORD,N,7506335702396,$104.72,
ACCF-29,HT-BLOC INY. I.V. 4 MG. CAJA C/1 AMP. C/2 ML.,ONDANSETRON,ACCORD,N,7506335701214,$64.96,
ACCF-30,ADIRIPEM TAB. 2 MG. CAJA C/30 (GLIMEPIRIDA),GLIMEPIRIDA,ACCORD,N,7506335700354,$29.12,
ACCF-31,ECCER TAB. 40 MG. CAJA C/14 (PANTOPRAZOL),PANTOPRAZOL,ACCORD,N,7506335702471,$36.96,Gastrointestinal
ACCF-32,LESPREK H TAB. 80 MG./12.5 MG. CAJA C/14 (TELMISARTAN/HIDROCLOROTIAZIDA),TELMISARTAN-HIDROCLOROTIAZIDA,ACCORD,N,7506335703027,$58.24,Combinados
ACCF-33,DUODOX TAB. 50 MG. CAJA C/28 (BICALUTAMIDA),BICALUTAMIDA,ACCORD,N,7506335700910,$300.16,
ACCF-35,LESPREK TAB. 40 MG CAJA C/30,TELMISARTAN,ACCORD FARMA,N,7506335702426,$44.80,
ACCF-36,LETZ TAB. 2.5 MG CAJA C/30,LETROZOL,ACCORD FARMA,N,7506335703188,$409.70,
ACCF-37,ACETRAZ TAB. 1 MG CAJA C/28,ANASTROZOL,ACCORD FARMA,N,7506335700033,$409.70,
ACCF-39,AC- VONDA TAB. 2.5 CAJA FCO. C/50,METOTREXATO,ACCORD FARMA,N,7506335703393,$231.06,
ACCF-40,ONEXY TAB. 5 MG CAJA C/28,TADALAFIL,ACCORD FARMA,N,7506335703690,$115.14,
ACCF-41,ONEXY TAB. 20 MG CAJA C/1,TADALAFIL,ACCORD FARMA,N,7506335703706,$14.00,
ACCF-42,ONEXY TAB. 20 MG CAJA C/4,TADALAFIL,ACCORD FARMA,N,7506335703713,$23.74,
ACCF-43,ONEXY TAB. 20 MG CAJA C/8,TADALAFIL,ACCORD FARMA,N,7606335703720,$46.14,
AH-01,KRINDOR TAB. 8 MG. CAJA C/10,ONDANSETRON,ALPHARMA,N,7502226290218,$78.06,
AH-02,ALPHADINAL SOL. NASAL INF. 5% CAJA C/FCO. C/15 ML.,NAFAZOLINA,ALPHARMA,N,75016418,$16.69,
AH-03,ALPHADINAL SOL. NASAL ADTO. 1% CAJA C/FCO. C/15 ML.,NAFAZOLINA,ALPHARMA,N,75016401,$19.60,
AH-04,AZIPHAR TAB. 500 MG. CAJA C/4,AZITROMICINA,ALPHARMA,N,7503004908585,$38.30,Antibióticos
AH-05,AZIPHAR TAB. 500 MG. CAJA C/3,AZITROMICINA,ALPHARMA,N,7503004908387,$35.84,Antibióticos
AH-08,ANFLATOX TAB. 15 MG. CAJA C/10,MELOXICAM,ALPHARMA,N,7503004908967,$21.28,
AH-09,ANFLATOX TAB. 7.5 MG. CAJA C/14,MELOXICAM,ALPHARMA,N,7503003134695,$11.31,
AH-108,ALPHASENS UNG. 5 G./100 G. CAJA C/TUBO C/35 G.,LIDOCAINA,ALPHARMA,N,7503003134398,$28.34,Anestésicos locales
AH-11,"BIOLYSIN GB CAP. 50,000 UI. CAJA C/40",VITAMINA A,ALPHARMA,N,7502226290027,$70.90,Vitaminas y Suplementos
AH-13,LASALAR Y SIMPLE CMA. CAJA C/TUBO C/20 G.,CLIOQUINOL,ALPHARMA,N,7503003134787,$12.99,
